Year,DJF
1875,-0.678204
1876,-0.548358
1877,0.897256
1878,2.53573
1879,-0.917934
1880,-1.21619
1881,0.4076
1882,-2.49E-02
1883,-0.242157
1884,0.510601
1885,0.844658
1886,0.731783
1887,-2.09418
1888,0.650403
1889,2.56632
1890,-1.8794
1891,0.605406
1892,-0.145282
1893,-1.04998
1894,-0.918492
1895,-0.577375
1896,0.553776
1897,1.55561
1898,-0.236767
1899,-0.529468
1900,1.73834
1901,0.47053
1902,0.252504
1903,2.07647
1904,-0.91105
1905,1.5439
1906,1.14602
1907,-0.603297
1908,0.38026
1909,-1.01108
1910,-1.12163
1911,-0.638856
1912,1.85654
1913,-0.14738
1914,1.49514
1915,1.70568
1916,-0.649321
1917,-1.4762
1918,-0.307349
1919,1.82594
1920,1.43965
1921,-0.57639
1922,0.459008
1923,-0.598195
1924,0.918496
1925,-1.124
1926,1.55844
1927,-0.458104
1928,0.225846
1929,-5.67E-02
1930,0.846579
1931,1.48219
1932,-0.557646
1933,-0.477309
1934,-0.903941
1935,-0.149697
1936,-0.122128
1937,-0.423415
1938,-0.714118
1939,-1.11893
1940,0.571417
1941,2.16365
1942,0.605576
1943,-2.12564
1944,-0.334057
1945,-1.13567
1946,-0.73884
1947,0.434012
1948,0.81267
1949,-0.235641
1950,-1.60261
1951,-0.618488
1952,0.473412
1953,0.419763
1954,0.893301
1955,-0.491612
1956,-0.860898
1957,-7.62E-02
1958,1.95414
1959,0.687502
1960,-6.75E-02
1961,-4.80E-02
1962,-0.237791
1963,-0.479706
1964,1.05039
1965,-0.372162
1966,1.5773
1967,-0.281309
1968,-0.323871
1969,1.13942
1970,0.393673
1971,-1.15703
1972,-0.448454
1973,1.92642
1974,-1.67037
1975,-0.20126
1976,-1.14518
1977,0.893622
1978,0.855971
1979,6.25E-02
1980,0.531097
1981,-9.37E-02
1982,3.76E-02
1983,2.40746
1984,-0.662153
1985,-0.953594
1986,-0.462629
1987,1.46582
1988,0.538691
1989,-1.8386
1990,0.13644
1991,0.497778
1992,2.23735
1993,0.395655
1994,0.222457
1995,1.1677
1996,-0.993969
1997,-0.367221
1998,2.0801
1999,-1.67342
2000,-1.81436
2001,-0.763526
2002,-0.264671
2003,0.745034
2004,0.136353
2005,0.448458
2006,-1.05826
2007,0.493499
2008,-1.7238
2009,-1.03182
2010,1.3678
2011,-1.55056
2012,-0.947057
2013,-0.750667
2014,-0.632048
2015,0.347277
2016,2.15902
2017,-0.842686
2018,-1.2098
2019,0.521601
2020,1.34E-02
2021,-1.29251
2022,-1.33873
2023,-0.953245
2024,1.11091